name,1237666338116993064_r
 fit_state, OK
 warnings, findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1573|
 star_mask_used,unavailable 
 noise_mask_used,unavailable 
 chirality_maj,Z-wise
 chirality_alenWtd, Z-wise
 chirality_wtdPangSum, Z-wise
 chirality_longestArc, Z-wise
 badBulgeFitFlag, false
 bulgeAxisRatio,0.897465936
 bulgeMajAxsLen,10.17418864
 bulgeMajAxsAngle,-0.612303178
 bulgeAvgBrt,0.914112124
 bulgeDiskBrtRatio,3.373993671
 numElpsRefits,7
 diskAxisRatio,0.515135892
 diskMinAxsLen,135.4921527
 diskMajAxsLen,263.0221554
 diskMajAxsAngleRadians,-0.726425872
 inputCenterR,221.5368491
 inputCenterC,220.067251
 iptSz, [441 441]
 muDist,1.076209825
 muDistProp,0.00488077
 covarFit, [447.7969066 -241.6624428;-241.6624428 390.5255418]
 wtdLik,0.557966588
 likOfCtr,0.00046492
 brtUnifScore,0.247058824
 gaussLogLik,-12835113.58
 contourBrtRatio,1.172201244
 standardizedCenterR,128.8507502
 standardizedCenterC,128.4320514
 hasDeletedCtrClus, true
 failed2revDuringMergeCheck, false
 failed2revDuringSecondaryMerging, false
 failed2revInOutput, false
 cpu_time,79.35
 wall_time,66.177904
 bar_candidate_available, false
 bar_used, false
 alenAt25pct,376.1031389
 alenAt50pct,218.3638625
 alenAt75pct,101.8248799
 rankAt25pct,1
 rankAt50pct,2
 rankAt75pct,4
 avgArcLength,121.1492117
 minArcLength,12.12449959
 lowerQuartileArcLength,28.96847792
 medianArcLength,84.99079267
 upperQuartileArcLength,177.0585576
 maxArcLength,376.1031389
 totalArcLength,1090.342905
 totalNumArcs,9
 chirality_votes_maj, [2 7]
 chirality_votes_alenWtd, [27.78696044 1062.555945]
 alenWtdPangSum,-15587.25676
 top2_chirality_agreement, 'agree'
 pa_longest,-10.30411266
 pa_avg,-8.095215184
 pa_avg_abs,15.38879968
 pa_avg_domChiralityOnly,-15.0968667
 pa_alenWtd_avg,-14.29573824
 paErr_alenWtd_stdev,12.15290387
 pa_alenWtd_avg_abs,15.20794826
 paErr_alenWtd_stdev_abs,10.98997334
 pa_alenWtd_avg_domChiralityOnly,-15.13761954
 paErr_alenWtd_stdev_domChiralityOnly,10.96523003
 pa_totBrtWtd,-14.44896875
 pa_avgBrtWtd,-13.87298722
 pa_alenWtd_median,-10.30411266
 pa_alenWtd_lowQuartile,-7.026045902
 pa_alenWtd_highQuartile,-24.16822738
 pa_alenWtd_lowDecile,-2.708771624
 pa_alenWtd_highDecile,-24.16822738
 pa_alenWtd_median_domChiralityOnly,-10.30411266
 pa_alenWtd_lowQuartile_domChiralityOnly,-7.350873873
 pa_alenWtd_highQuartile_domChiralityOnly,-24.16822738
 pa_alenWtd_lowDecile_domChiralityOnly,-7.026045902
 pa_alenWtd_highDecile_domChiralityOnly,-24.16822738
 sorted_agreeing_pangs, [-10.30411266 -24.16822738 -7.026045902 -42.17924471 -11.94079072 -2.708771624 -7.350873873]
 sorted_agreeing_arclengths, [376.1031389 218.3638625 163.2901226 101.8248799 84.99079267 84.57933096 33.40381694]
 numArcs_largest_length_gap,1
 numDcoArcs_largest_length_gap,1
 numArcs_arclength_function_flattening,1
 numDcoArcs_arclength_function_flattening,1
 bar_score_img,1.1508
 bar_cand_score_orifld,9.3012
 bar_angle_input_img,239.8789
 bar_half_length_input_img,18.6328
 bar_angle_standardized_img,11.5
 bar_half_length_standardized_img,30
 numArcsGE000,9
 numArcsGE010,9
 numArcsGE020,7
 numArcsGE040,6
 numArcsGE050,6
 numArcsGE055,6
 numArcsGE060,6
 numArcsGE065,6
 numArcsGE070,6
 numArcsGE075,6
 numArcsGE080,6
 numArcsGE085,4
 numArcsGE090,4
 numArcsGE095,4
 numArcsGE100,4
 numArcsGE120,3
 numArcsGE140,3
 numArcsGE160,3
 numArcsGE180,2
 numArcsGE200,2
 numArcsGE220,1
 numArcsGE240,1
 numArcsGE260,1
 numArcsGE280,1
 numArcsGE300,1
 numArcsGE350,1
 numArcsGE400,0
 numArcsGE450,0
 numArcsGE500,0
 numArcsGE550,0
 numArcsGE600,0
 numDcoArcsGE000,7
 numDcoArcsGE010,7
 numDcoArcsGE020,7
 numDcoArcsGE040,6
 numDcoArcsGE050,6
 numDcoArcsGE055,6
 numDcoArcsGE060,6
 numDcoArcsGE065,6
 numDcoArcsGE070,6
 numDcoArcsGE075,6
 numDcoArcsGE080,6
 numDcoArcsGE085,4
 numDcoArcsGE090,4
 numDcoArcsGE095,4
 numDcoArcsGE100,4
 numDcoArcsGE120,3
 numDcoArcsGE140,3
 numDcoArcsGE160,3
 numDcoArcsGE180,2
 numDcoArcsGE200,2
 numDcoArcsGE220,1
 numDcoArcsGE240,1
 numDcoArcsGE260,1
 numDcoArcsGE280,1
 numDcoArcsGE300,1
 numDcoArcsGE350,1
 numDcoArcsGE400,0
 numDcoArcsGE450,0
 numDcoArcsGE500,0
 numDcoArcsGE550,0
 numDcoArcsGE600,0
 , 
