SDSS_dr8objid 	 ra 	 dec
1237648673455079669 	 236.247091428774 	 -0.475267502815452
1237648673455079713 	 236.286881374584 	 -0.518010118960407
1237648673455079944 	 236.342179882005 	 -0.467013877591469
1237648673455079856 	 236.350124752507 	 -0.598233629682853
1237648673455079894 	 236.369359345849 	 -0.574433251058681
1237648673455145262 	 236.397317917927 	 -0.493447697370449
1237648673455145351 	 236.445321293616 	 -0.506316026829828
1237648673455211068 	 236.547640257968 	 -0.549311627971415
1237648673455210807 	 236.576129164315 	 -0.558344378665436
